,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,img_link,price,Business Type,Property Type,Zoning
46,No Data,"1 (Feb 5, 2020)","Re/max Realtron Barina Realty Inc., Brokerage",55.00 x 160.8 Feet,C4684420,No Data,Bungalow,"$10,792 /yr",Detached,12,15 Artinger Court,Toronto,Banbury-don Mills,https://photos.zolo.ca/15-artinger-court-toronto-c4684420-photo-1-processed-480.jpg?2020-02-05+12%3A17%3A49,"$3,480,000",,,
47,6-15 years,"1 (Feb 5, 2020)","Advocate Realty Ltd., Brokerage",33.00 x 132 Feet,C4684363,No Data,2-Storey,"$11,954 /yr",Detached,81,12 Gilgorm Road,Toronto,Forest Hill North,https://photos.zolo.ca/12-gilgorm-road-toronto-c4684363-photo-1-processed-480.jpg?2020-02-05+12%3A17%3A36,"$2,499,000",,,
48,No Data,"1 (Feb 5, 2020)","Forest Hill Real Estate Inc., Brokerage",50.00 x 120 Feet,W4684331,No Data,2-Storey,"$4,001 /yr",Detached,56,80 Evans Avenue,Toronto,Mimico,https://photos.zolo.ca/80-evans-avenue-toronto-w4684331-photo-1-processed-480.jpg?2020-02-05+10%3A42%3A05,"$899,000",,,
49,100 years,"1 (Feb 5, 2020)","Chestnut Park Real Estate Limited, Brokerage",25.00 x 128 Feet,W4684281,No Data,2 1/2 Storey,"$6,278 /yr",Detached,73,95 Galley Avenue,Toronto,Roncesvalles,https://photos.zolo.ca/95-galley-avenue-toronto-w4684281-photo-1-processed-480.jpg?2020-02-05+09%3A40%3A25,"$1,926,000",,,
50,No Data,"1 (Feb 5, 2020)","Homelife Silvercity Realty Inc., Brokerage",50.00 x 151.95 Feet,W4684279,No Data,Bungalow,"$3,179 /yr",Detached,36,39 Hobden Place,Toronto,Willowridge-martingrove-richview,https://photos.zolo.ca/39-hobden-place-toronto-w4684279-photo-1-processed-480.jpg?2020-02-05+11%3A35%3A44,"$975,000",,,
51,31-50 years,"1 (Feb 5, 2020)","Royal Lepage Premium One Realty, Brokerage",68.83 x 102 Feet,W4684248,No Data,Sidesplit 5,"$3,463 /yr",Detached,70,57 Killamarsh Drive,Toronto,York University Heights,https://photos.zolo.ca/57-killamarsh-drive-toronto-w4684248-photo-1-processed-480.jpg?2020-02-05+09%3A39%3A29,"$949,000",,,
52,No Data,"1 (Feb 5, 2020)","Royal Lepage Porritt Real Estate, Brokerage",43.00 x 123.5 Feet,W4684220,No Data,Bungalow,"$3,852 /yr",Detached,76,54 Coules Court,Toronto,Alderwood,https://photos.zolo.ca/54-coules-court-toronto-w4684220-photo-1-processed-480.jpg?2020-02-05+10%3A41%3A06,"$968,888",,,
53,51-99 years,"1 (Feb 5, 2020)","Royal Lepage Realty Plus, Brokerage",55.00 x 110.5 Feet,W4684219,1100-1500 sqft,1 1/2 Storey,"$4,093 /yr",Detached,18,210 Berry Road,Toronto,Stonegate-queensway,https://photos.zolo.ca/210-berry-road-toronto-w4684219-photo-1-processed-480.jpg?2020-02-05+09%3A39%3A03,"$1,099,000",,,
54,No Data,"1 (Feb 5, 2020)","Re/max West Realty Inc., Brokerage",30.00 x 115 Feet,W4684214,No Data,2 1/2 Storey,"$6,428 /yr",Detached,86,280 Keele Street,Toronto,Junction Area,https://photos.zolo.ca/280-keele-street-toronto-w4684214-photo-1-processed-480.jpg?2020-02-05+09%3A38%3A54,"$1,498,000",,,
55,No Data,"1 (Feb 5, 2020)","Right At Home Realty Inc., Brokerage",32.44 x 83.5 Feet,W4681357,No Data,2-Storey,"$2,527 /yr",Detached,43,27 Kidron Valley Drive,Toronto,Mount Olive-silverstone-jamestown,https://photos.zolo.ca/27-kidron-valley-drive-toronto-w4681357-photo-1-processed-orig.jpg?2020-02-05+09%3A35%3A53,"$769,000",,,
